,text
0,....be able to produce what I have. So when you see those nasty ads from Big Pharma remember the only reason they are going all out is the massive PRICE REDUCTIONS you are getting - not good for them. Plus I was only President in 51 years that got a Prescription D reduction!
1,Big Pharma is taking television ads trying to make the case that I am raising prescription drug prices on seniors. The ad is a lie! What I have done will lead to a 50% REDUCTION in prices at least &amp; Big Pharma is not happy about it. No other President would....
2,“Nadler calls ANTIFA violence a MYTH.” @foxandfriends  They are Anarchists with miles of “tape” showing their illegal activity. Jerry blame it on Russia Russia Russia!
3,The Fake News Media is trying to portray the Portland and Seattle “protesters” as wonderful sweet and innocent people just out for a little stroll. Actually they are sick and deranged Anarchists &amp; Agitators who our great men &amp; women of Law Enforcement easily control but who...
4,....would destroy our American cities and worse if Sleepy Joe Biden the puppet of the Left ever won. Markets would crash and cities would burn. Our Country would suffer like never before. We will beat the Virus soon and go on to the Golden Age - better than ever before!
5,MAKE AMERICA GREAT AGAIN!
6,So disgusting to watch Twitter’s so-called “Trending” where sooo many trends are about me and never a good one. They look for anything they can find make it as bad as possible and blow it up trying to make it trend. Really ridiculous illegal and of course very unfair!
7,Anarchists Agitators or Protestors who vandalize or damage our Federal Courthouse in Portland or any Federal Buildings in any of our Cities or States will be prosecuted under our recently re-enacted Statues &amp; Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it! @DHSgov
8,Homeland Security or Federal Forces are little involved in Seattle other than we have a large standby team in case of emergency. The media is calling that one wrong also. In Portland we are protecting Federal property including the Courthouse which wouldn’t last a day!
9,Rigged Election and EVERYONE knows it! https://t.co/mjuB6wz95B
10,Where is JUSTICE? https://t.co/sJTDSCDXGi
11,Wow! https://t.co/v6MKirOs4G
12,He is and people are not happy about it. The Washington Post is a political front for Amazon. Nobody treated Ronald Reagan worse! https://t.co/Op2UnQ5uWj
13,Nice! https://t.co/4yvPax9J3B
14,We do more testing than any country in the World by far over 55 million tests. Fake News @CNN says we should do more testing. But even if we did 100 times more they would then say it is still not enough. They are totally discredited just want Sleepy Joe to win in November! https://t.co/eqtBtXrEzJ
15,The “protesters” are actually anarchists who hate our Country. The line of innocent “mothers” were a scam that Lamestream refuses to acknowledge just like they don’t report the violence of these demonstrations! https://t.co/A0IBAzqVoT
16,The 2020 Election will be totally rigged if Mail-In Voting is allowed to take place &amp; everyone knows it. So much time is taken talking about foreign influence but the same people won’t even discuss Mail-In election corruption. Look at Patterson N.J. 20% of vote was corrupted!
17,Because of my strong focus on the China Virus including scheduled meetings on Vaccines our economy and much else I won’t be able to be in New York to throw out the opening pitch for the @Yankees on August 15th. We will make it later in the season!
18,The Lamestream Media including @FoxNews which has really checked out is refusing to show what is REALLY going on in Portland Seattle and other places. They want the American public to believe that these are just some wonderful protesters not radical left ANARCHISTS!
19,There is NO WAY a place like Pennsylvania can vote for the Radical Left and their puppet Joe Biden when they are against fracking steel production and just about everything else that Pennsylvania stands for. Likewise Texas and many other states!!!
20,So the Washington Post is running the Reagan Foundation and RINO Paul Ryan is on the Board of Fox which has been terrible. We will win anyway even with the phony @FoxNews suppression polls (which have been seriously wrong for 5 years)! https://t.co/fOi3AROxuz
21,The Trump Campaign has more ENTHUSIASM according to many than any campaign in the history of our great Country - Even more than 2016. Biden has NONE! The Silent Majority will speak on NOVEMBER THIRD!!! Fake Suppression Polls &amp; Fake News will not save the Radical Left.
22,Crazy Nancy Pelosi said I made a mistake when I banned people from infected China from entering the U.S. in January. Tens of thousands of lives were saved as she danced in the Streets of Chinatown (SF) in late February. Biden agreed with her but soon admitted that I was right!
23,Brett LOVES Wisconsin Mississippi and Minnesota. A good golfer - hits it LONG! https://t.co/JcBJJEWI0X
24,This week you had Joe Biden call Arizona a CITY. Nothing matters with him however because the Opposition Party (Lamestream Media) covers everything up - especially the corruption. The Obama/Biden Administration is the most corrupt in history. They even spied on my campaign!
25,Thank you Jon! https://t.co/vWVriDTnDb
26,https://t.co/Cd0X3e3wy7
27,https://t.co/Ejim8FGAN2
28,https://t.co/mOOedgc7kH
29,My Administration is closely monitoring Hurricane Douglas off Hawaii &amp; Hurricane Hanna which has now made landfall in Texas. We continue to coordinate closely with both states — listen to your emergency management officials @Hawaii_EMA &amp; @TDEM to protect your family &amp; property! https://t.co/tFxHLSqcBE
30,One of the greats in the history of television Regis Philbin has passed on to even greater airwaves at 88. He was a fantastic person and my friend. He kept telling me to run for President. Holds the record for “most live television” and he did it well. Regis we love you....
31,....And to Joy his wonderful wife who he loved so much my warmest condolences!!!
32,@BrandonStraka Many Democrats are leaving the party over calls to Defund the Police. @foxandfriends @PeteHegseth  Great going Brandon. You really get it!!!
33,The Democrats in the House are trying to undo my big win Travel Ban Bill which successfully keeps very bad and dangerous people out of our great Country. Passed along party lines. Hopefully will be DEAD in the Senate! The Dems have gone Stone Cold Left - Venezuela on steroids!
34,Wow! https://t.co/vw0uZPuHXZ
35,Yesterday I signed four measures that will massively reduce the prices of prescription drugs in many cases by more than 50%. Nothing like this has ever been done before because Big Pharma with its vast power would not let it happen. Expensive Insulin went from big dollars.....
36,...to virtual pennies. Epi-pens went from their incredibly high jacked up prices to lower than their original give away bargains. Biggest price reductions in history by far! Nothing like this has ever for our citizens especially our Seniors. REMEMBER YOUR FAVORITE PRESIDENT!
37,Congratulations Jim. It was a great and beautiful event. Well deserved! https://t.co/I4iwvYx3DK
38,Wow. Win in 2020!!! https://t.co/q1XDB5BuTY
39,So Obama and his team of lowlifes spied on my campaign and got caught - Open and shut case! More papers released today which are devastating to them. Will they ever pay the price? The political Crime of the Century!
40,96% Approval Rating in the Republican Party. Thank you!
41,Congratulations @JimRyun! https://t.co/I4iwvYx3DK https://t.co/E0wBx1Gjh2
42,I spoke to highly respected (Chairman) Senator @JimInhofe who has informed me that he WILL NOT be changing the names of our great Military Bases and Forts places from which we won two World Wars (and more!). Like me Jim is not a believer in “Cancel Culture”.
43,Great job by @elonmusk in agreeing to build in TEXAS what is expected to be the largest auto plant anywhere in the world. He kept his word to me. Texas &amp; @Tesla are big winners. MADE IN THE USA!
44,The great Jim Ryun will be honored this morning at the White House with the presentation of The Presidential Medal of Freedom. Congratulations to Jim and the entire Ryun family. 11:00 A.M. @foxandfriends @FoxNews @OANN
45,https://t.co/gPAHGxgLKN
46,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!!!
47,WELCOME BACK BASEBALL! https://t.co/dhLSfNkI7L
48,White House Press Conference at 5:15 P.M. Live!
49,The Suburban Housewives of America must read this article. Biden will destroy your neighborhood and your American Dream. I will preserve it and make it even better! https://t.co/1NzbR57Oe6
50,Obama who wouldn’t even endorse Biden until everyone else was out of the primaries (and even then waited a long time!) is now making a commercial of support. Remember I wouldn’t even be here if it weren’t for them. I wouldn’t be President. They did a terrible job!
51,The Democrats have stated strongly that they won’t approve a Payroll Tax Cut (too bad!). It would be great for workers. The Republicans therefore didn’t want to ask for it. Dems as usual are hurting the working men and women of our Country!
52,Recently watched failed RINO Tom Ridge former head of Homeland Security trying to justify his sudden love of the Radical Left Mayor of Portland who last night was booed &amp; shouted out of existence by the agitators &amp; anarchists. Love watching pathetic Never Trumpers squirm!
53,We did great things but it doesn’t matter to the Dems! https://t.co/itApu2V1JU
54,John Bolton is with the exception of Hillary by far the worst offender of them all! https://t.co/dYk0dsxkG5
55,Great but did MAGA have anything to do with this great ratings success? https://t.co/npPUfQ4LLL
56,Liz Cheney is only upset because I have been actively getting our great and beautiful Country out of the ridiculous and costly Endless Wars. I am also making our so-called allies pay tens of billions of dollars in delinquent military costs. They must at least treat us fairly!!!
57,I am deeply saddened by the loss of my friend Charles Evers. Charles was a trail blazer in politics and a fearless leader alongside his brother Medgar for Civil Rights. https://t.co/rL4bLbCY1D
58,We MUST protect our National Parks for our children and grandchildren. I am calling on the House to pass the GREAT AMERICAN OUTDOORS ACT today. Thanks @SenCoryGardner and @SteveDaines for all your work on this HISTORIC BILL!
59,Mail-In Voting unless changed by the courts will lead to the most CORRUPT ELECTION in our Nation’s History! #RIGGEDELECTION
60,Strong Stock Market Numbers. You want to see them dive? Vote for the Radical Left with their BIG Tax Hikes!
61,“In my view General Flynn should never have been prosecuted in the first place.” @Judgenap Judge Andrew Napolitano  @foxandfriends
62,You will never hear this on the Fake News concerning the China Virus but by comparison to most other countries who are suffering greatly we are doing very well - and we have done things that few other countries could have done!
63,Tremendous progress being made on Vaccines and Therapeutics!!!
64,Looking forward to live sports but any time I witness a player kneeling during the National Anthem a sign of great disrespect for our Country and our Flag the game is over for me!
65,Thank you for the good reviews and comments on my interview with Chris Wallace of @FoxNews. We may have set a record for doing such an interview in the heat. It was 100 degrees making things very interesting!
66,We are United in our effort to defeat the Invisible China Virus and many people say that it is Patriotic to wear a face mask when you can’t socially distance. There is nobody more Patriotic than me your favorite President! https://t.co/iQOd1whktN
67,Congratulations Allen great job! https://t.co/jjeUk1SwGm
68,So we catch Obama &amp; Biden not to even mention the rest of their crew SPYING on my campaign AND NOTHING HAPPENS? I hope not! If it were the other way around 50 years for treason. NEVER FORGET!!!!
69,The Radical Left Democrats who totally control Biden will destroy our Country as we know it. Unimaginably bad things would happen to America. Look at Portland where the pols are just fine with 50 days of anarchy. We sent in help. Look at New York Chicago Philadelphia. NO!
70,We are trying to help Portland not hurt it. Their leadership has for months lost control of the anarchists and agitators. They are missing in action. We must protect Federal property AND OUR PEOPLE. These were not merely protesters these are the real deal!
71,MAKE AMERICA GREAT AGAIN!
72,Oregon officials are running scared when it comes to Portland m
73,https://t.co/yFasyAw1hR
74,Saddened to hear the news of civil rights hero John Lewis passing. Melania and I send our prayers to he and his family.
75,Great job Tammy! https://t.co/ZvJ8jlVCq3
76,Corrupt Joe Biden wants to defund our police. He may use different words but when you look at his pact with Crazy Bernie and other things that’s what he wants to do. It would destroy America!
77,....Tax Returns. She’s a mess! Many books have been written about me some good some bad. Both happily and sadly there will be more to come!
78,I am the ultimate member of The Book of the Month Club. First I have lowlife dummy John Bolton a war mongering fool violating the law (he released massive amounts of Classified Information) and an NDA in order to build badly needed credibility and make a few dollars which
79,....will all end up going to the government anyway. Next up is Mary Trump a seldom seen niece who knows little about me says untruthful things about my wonderful parents (who couldn’t stand her!) and me and violated her NDA. She also broke the Law by givng out my....
80,I am proud to announce $2 million for the @Sept11Memorial in NYC! This special site ensures that the memory of the nearly 3000 people killed in the terror attacks of September 11 2001 as well as those lost in the World Trade Center bombing in 1993 will never be forgotten!
81,In addition to nearly $8 billion that Treasury provided tribal communities @HUDgov is releasing an additional $25 million in #CARESAct funding today to respond to the CoronaVirus with improved housing indoor air quality and food pantry support.
82,https://t.co/n6cfjHjgaZ
83,THANK YOU to the 5 million members of the @NRA for once again entrusting me with your FULL &amp; COMPLETE ENDORSEMENT! As long as I am President I will ALWAYS protect our Great Second Amendment and never let the Radical Left take away your Rights your Guns or your Police! @NRAPVF https://t.co/8ZhChqxgBI
84,Another one of many Fake T.V. Ads this one about the Tennessee Valley Authority which for years has paid its top executive a ridiculous FORTUNE. Not run by the U.S. but I have long been fighting that crazy “salary” &amp; its polices. Strange ad paid for (?) by “U.S. Tech Workers”.
85,THANK YOU @NAPOpolice and their 241000 brave law enforcement members for a FULL &amp; COMPLETE ENDORSEMENT! I will ALWAYS back the men and women in blue and never let you down. LAW AND ORDER will prevail! #LESM https://t.co/tJnA0EpuTR
86,...be on the way and Americans want safe streets and communities!
87,I am pleased to announce that Bill Stepien has been promoted to the role of Trump Campaign Manager. Brad Parscale who has been with me for a very long time and has led our tremendous digital and data strategies will remain in that role while being a Senior Advisor to the...
88,...campaign. Both were heavily involved in our historic 2016 win and I look forward to having a big and very important second win together. This one should be a lot easier as our poll numbers are rising fast the economy is getting better vaccines and therapeutics will soon...
89,سه نفر در ایران برای شرکت کردن در تظاهرات محکوم به مرگ شده اند. اعدام آنها در هر لحظه قابل انتظار است. اعدام این سه نفر پیامی اسفناک به دنیا می فرستد و نباید انجام شود. #اعدام_نکنید
90,Three individuals were sentenced to death in Iran for participating in protests. The execution is expected momentarily. Executing these three people sends a terrible signal to the world and should not be done! #StopExecutionsInIran
91,Joe Biden and the Radical Left want to Abolish Police Abolish ICE Abolish Bail Abolish Suburbs Abolish the 2nd Amendment – and Abolish the American Way of Life. No one will be SAFE in Joe Biden’s America!
92,The Biden-Sanders unity plan takes a sledgehammer to charter schools punishing students for their zip codes. No one will be SAFE in Joe Biden’s America!
93,Wow. The @nytimes is under siege. The real reason is that it has become Fake News. They never covered me correctly - they blew it. People are fleeing a total mess!
94,Great News on Vaccines!
95,96% Approval Rating of President Trump in the Republican Party. Thank you!
96,88 and 2 (really 1) in ENDORSEMENTS this election cycle and @FoxNews was critical. Has anyone ever done so well? I doubt it! Steve D. @foxandfriends
97,.@GoyaFoods is doing GREAT. The Radical Left smear machine backfired people are buying like crazy!
98,Has anybody seen or reviewed the written “pact” between Bernie Sanders &amp; Sleepy Joe. It is further left than even Bernie had in mind. Open Borders crime really bad to cops and military - The guaranteed destruction of America. Joe never told us this. Never been so CLEAR!!!
99,“Joe Biden has made a lot of promises - and not gotten a lot done.” @foxandfriends  That is the understatement of the year!!!
100,Congratulations to @RonnyJackson4TX on a big win against a tough and really good opponent. Ronny will be a fantastic Congressman - Will represent the wonderful people of the Great State of Texas and the USA very well. Proud of you Ronny!!!
101,A GREAT WIN! https://t.co/hw0t6KbI0M
102,Wow just called! @TTuberville - Tommy Tuberville WON big against Jeff Sessions. Will be a GREAT Senator for the incredible people of Alabama. @DougJones is a terrible Senator who is just a Super Liberal puppet for Schumer &amp; Pelosi. Represents Alabama poorly. On to November 3rd.
103,Joe Biden claims to be prioritizing ‘safety of kids’ by keeping schools closed this Fall. Yet he remains silent about children being slaughtered by violence on the streets of Democrat run cities. You &amp; your children won’t be SAFE in Biden’s America and neither will anyone else!
104,Would be so great if the Media would get the word out to the people in a “fair and balanced” way. We will win anyway but they are a far more difficult adversary than their Radical Left Do Nothing Democrat Partner!
105,LAW &amp; ORDER!
106,This is why we have so many “cases” for the media to constantly refer to! https://t.co/0f3o49q1pX
107,The Economy is coming back fast! https://t.co/sp4GKeJfDA
108,Congratulations to my friend President @AndrzejDuda of Poland on his historic re-election! Looking forward to continuing our important work together across many issues including defense trade energy and telecommunications security!
109,The Lamestream Media is not talking about what is happening with the Stock Market and JOBS. Both are doing GREAT! The Radical Left will destroy the USA. Be careful what you wish for!
110,The Silent Majority will reign!
111,So hard to watch @FoxNews anymore. They are working so hard against the people (viewers) that got them there. Their contributors are a disaster and all over the place. The Radical Left has scared Fox into submission just like they have so many others. Sad but we will WIN!
112,Never in history have Police been treated so badly as they are in Democrat run cities - and these cities are a mess. Police must take a stronger stand with the Radical Left politicians that are treating them so badly and so disrespectfully!!!
113,“Republican voter registration is way up Democrat numbers are down.” @foxandfriends
114,Is this what you want for your President??? With no ratings media will go down along with our great USA! https://t.co/dtJm3J2BPr
115,No Radical Left anarchists agitators looters or protesters will not be knocking down or harming the Washington Monument the Lincoln or Jefferson Memorials or just about any other Federal Monumrnt or Statue. If they even try an automatic 10 years in prison. Sorry!
